Compound.Name,Level,Classification
L-Cystathionine,level 5,Amino_acids_and_derivatives
L-Cystathionine,level 6,Alpha_amino_acids_and_derivatives
L-Cystathionine,level 7,Cysteine_and_derivatives
L-Cystathionine,level 8,L-cysteine-S-conjugates
L-Cysteic_acid,kingdom,Organic_compounds
L-Cysteic_acid,superclass,Organic_acids_and_derivatives
L-Cysteic_acid,class,Carboxylic_acids_and_derivatives
L-Cysteic_acid,subclass,Amino_acids_peptides_and_analogues
L-Cysteic_acid,level 5,Amino_acids_and_derivatives
L-Cysteic_acid,level 6,Alpha_amino_acids_and_derivatives
L-Cysteic_acid,level 7,Alpha_amino_acids
L-Cysteic_acid,level 8,L-alpha-amino_acids
L-Cysteine,kingdom,Organic_compounds
L-Cysteine,superclass,Organic_acids_and_derivatives
L-Cysteine,class,Carboxylic_acids_and_derivatives
L-Cysteine,subclass,Amino_acids_peptides_and_analogues
L-Cysteine,level 5,Amino_acids_and_derivatives
L-Cysteine,level 6,Alpha_amino_acids_and_derivatives
L-Cysteine,level 7,Cysteine_and_derivatives
L-Cysteine,level 8,Cysteine_and_derivatives
L-Cystine,kingdom,Organic_compounds
L-Cystine,superclass,Organic_acids_and_derivatives
L-Cystine,class,Carboxylic_acids_and_derivatives
L-Cystine,subclass,Amino_acids_peptides_and_analogues
L-Cystine,level 5,Amino_acids_and_derivatives
L-Cystine,level 6,Alpha_amino_acids_and_derivatives
L-Cystine,level 7,Cysteine_and_derivatives
L-Cystine,level 8,L-cysteine-S-conjugates
Cytidine,kingdom,Organic_compounds
Cytidine,superclass,Nucleosides_nucleotides_and_analogues
Cytidine,class,Pyrimidine_nucleosides
Cytidine,subclass,Pyrimidine_nucleosides
Cytidine,level 5,Pyrimidine_nucleosides
Cytidine,level 6,Pyrimidine_nucleosides
Cytidine,level 7,Pyrimidine_nucleosides
Cytidine,level 8,Pyrimidine_nucleosides
Cytosine,kingdom,Organic_compounds
Cytosine,superclass,Organoheterocyclic_compounds
Cytosine,class,Diazines
Cytosine,subclass,Pyrimidines_and_pyrimidine_derivatives
Cytosine,level 5,Pyrimidones
Cytosine,level 6,Pyrimidones
Cytosine,level 7,Pyrimidones
Cytosine,level 8,Pyrimidones
Dihydroxyacetone_phosphate,kingdom,Organic_compounds
Dihydroxyacetone_phosphate,superclass,Organic_oxygen_compounds
Dihydroxyacetone_phosphate,class,Organooxygen_compounds
Dihydroxyacetone_phosphate,subclass,Carbohydrates_and_carbohydrate_conjugates
Dihydroxyacetone_phosphate,level 5,Monosaccharides
Dihydroxyacetone_phosphate,level 6,Monosaccharide_phosphates
Dihydroxyacetone_phosphate,level 7,Monosaccharide_phosphates
Dihydroxyacetone_phosphate,level 8,Monosaccharide_phosphates
R-23-Dihydroxypropane-1-sulfonate,kingdom,Organic_compounds
R-23-Dihydroxypropane-1-sulfonate,superclass,Organic_acids_and_derivatives
R-23-Dihydroxypropane-1-sulfonate,class,Organic_sulfonic_acids_and_derivatives
R-23-Dihydroxypropane-1-sulfonate,subclass,Organosulfonic_acids_and_derivatives
R-23-Dihydroxypropane-1-sulfonate,level 5,Organosulfonic_acids
R-23-Dihydroxypropane-1-sulfonate,level 6,Organosulfonic_acids
R-23-Dihydroxypropane-1-sulfonate,level 7,Organosulfonic_acids
R-23-Dihydroxypropane-1-sulfonate,level 8,Organosulfonic_acids
Dimethylglycine,kingdom,Organic_compounds
Dimethylglycine,superclass,Organic_acids_and_derivatives
Dimethylglycine,class,Carboxylic_acids_and_derivatives
Dimethylglycine,subclass,Amino_acids_peptides_and_analogues
Dimethylglycine,level 5,Amino_acids_and_derivatives
Dimethylglycine,level 6,Alpha_amino_acids_and_derivatives
Dimethylglycine,level 7,Alpha_amino_acids
Dimethylglycine,level 8,Alpha_amino_acids
Dimethylsulfoniopropionate,kingdom,Organic_compounds
Dimethylsulfoniopropionate,superclass,Organic_acids_and_derivatives
Dimethylsulfoniopropionate,class,Carboxylic_acids_and_derivatives
Dimethylsulfoniopropionate,subclass,Carboxylic_acid_derivatives
Dimethylsulfoniopropionate,level 5,Carboxylic_acid_salts
Dimethylsulfoniopropionate,level 6,Carboxylic_acid_salts
Dimethylsulfoniopropionate,level 7,Carboxylic_acid_salts
Dimethylsulfoniopropionate,level 8,Carboxylic_acid_salts
Ectoine,kingdom,Organic_compounds
Ectoine,superclass,Organic_acids_and_derivatives
Ectoine,class,Carboxylic_acids_and_derivatives
Ectoine,subclass,Amino_acids_peptides_and_analogues
Ectoine,level 5,Amino_acids_and_derivatives
Ectoine,level 6,Alpha_amino_acids_and_derivatives
Ectoine,level 7,Alpha_amino_acids
Ectoine,level 8,L-alpha-amino_acids
5-Hydroxyectoine,kingdom,Organic_compounds
5-Hydroxyectoine,superclass,Organic_acids_and_derivatives
5-Hydroxyectoine,class,Carboxylic_acids_and_derivatives
5-Hydroxyectoine,subclass,Amino_acids_peptides_and_analogues
5-Hydroxyectoine,level 5,Amino_acids_and_derivatives
5-Hydroxyectoine,level 6,Alpha_amino_acids_and_derivatives
5-Hydroxyectoine,level 7,Alpha_amino_acids
5-Hydroxyectoine,level 8,L-alpha-amino_acids
Ethanesulfonic_acid,kingdom,Organic_compounds
Ethanesulfonic_acid,superclass,Organic_acids_and_derivatives
Ethanesulfonic_acid,class,Organic_sulfonic_acids_and_derivatives
Ethanesulfonic_acid,subclass,Organosulfonic_acids_and_derivatives
Ethanesulfonic_acid,level 5,Organosulfonic_acids
Ethanesulfonic_acid,level 6,Organosulfonic_acids
Ethanesulfonic_acid,level 7,Organosulfonic_acids
Ethanesulfonic_acid,level 8,Organosulfonic_acids
Ethyl_aminobenzoate,kingdom,Organic_compounds
Ethyl_aminobenzoate,superclass,Benzenoids
Ethyl_aminobenzoate,class,Benzene_and_substituted_derivatives
Ethyl_aminobenzoate,subclass,Benzoic_acids_and_derivatives
Ethyl_aminobenzoate,level 5,Benzoic_acid_esters
Ethyl_aminobenzoate,level 6,Benzoic_acid_esters
Ethyl_aminobenzoate,level 7,Benzoic_acid_esters
Ethyl_aminobenzoate,level 8,Benzoic_acid_esters
Ethyl_dihydroxybenzoate,kingdom,Organic_compounds
