,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
57,Vitamin synthesis,RP,Dimethylbenzimidazole,,"5,6-dimethyl-1H-benzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,CC1=CC2=C(C=C1C)N=CN2
58,Internal Standard,RP,"Docosahexaenoic acid, 2H5",,,,
59,Toxin ,RP,Domoic acid,,"(2S,3S,4S)-4-[(2Z,4E,6R)-6-carboxyhepta-2,4-dien-2-yl]-3-(carboxymethyl)pyrrolidine-2-carboxylic acid",VZFRNCSOCOPNDB-AOKDLOFSSA-N,CC(C=CC=C(C)C1CNC(C1CC(=O)O)C(=O)O)C(=O)O
60,Internal Standard,RP,"Eicosapentaenoic acid, 2H5",,,,
61,Fatty Acid,RP,Eicosapentaenoic acid,,"(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid",JAZBEHYOTPTENJ-JLNKQSITSA-N,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
62,Sterol,RP,Ergosterol,,"(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",DNVPQKQSNYMLRS-APGDWVJJSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
63,Lignin,RP,Ethyl aminobenzoate,,ethyl 4-aminobenzoate,BLFLLBZGZJTVJG-UHFFFAOYSA-N,CCOC(=O)C1=CC=C(C=C1)N
65,Lignin,RP,Ferulic acid,,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O
66,Phytohormone,RP,Gibberellin A3,,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",IXORZMNAPKEEDV-OBDJNFEBSA-N,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O
67,Phytohormone,RP,Gibberellin A4,,"(1R,2R,5R,8R,9S,10R,11S,12S)-12-hydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",RSQSQJNRHICNNH-NFMPGMCNSA-N,CC12C(CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O)O
68,New2,RP,Glucosamine,,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",MSWZFWKMSRAUBD-IVMDWMLBSA-N,C(C1C(C(C(C(O1)O)N)O)O)O
69,Antioxidant,RP,Glutathione,,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,RWSXRVCMGQZWBV-WDSKDSINSA-N,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
70,Sulfur,RP,Glutathione disulfide,,(2S)-2-amino-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,YPZRWBKMTBYPTK-BJDJZHNGSA-N,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
71,New2,RP,Glycerophosphocholine,,"[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",SUHOQUVVVLNYQR-MRVPVSSYSA-N,C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O
72,Quorum sensing,RP,2-Heptyl-4(1H)-quinolone,,2-heptyl-1H-quinolin-4-one,UYRHHBXYXSYGHA-UHFFFAOYSA-N,CCCCCCCC1=CC(=O)C2=CC=CC=C2N1
73,New2,RP,Homoserine lactone,,3-aminooxolan-2-one,QJPWUUJVYOJNMH-UHFFFAOYSA-N,C1COC(=O)C1N
